date,vix
2011-09-16,30.98
2011-09-19,32.73
2011-09-20,32.86
2011-09-21,37.32
2011-09-22,41.35
2011-09-23,41.25
2011-09-26,39.02
2011-09-27,37.71
2011-09-28,41.08
2011-09-29,38.84
2011-09-30,42.96
2011-10-03,45.45
2011-10-04,40.82
2011-10-05,37.81
2011-10-06,36.27
2011-10-07,36.20
2011-10-10,33.02
2011-10-11,32.86
2011-10-12,31.26
2011-10-13,30.70
2011-10-14,28.24
2011-10-17,33.39
2011-10-18,31.56
2011-10-19,34.44
2011-10-20,34.78
2011-10-21,31.32
2011-10-24,29.26
2011-10-25,32.22
2011-10-26,29.86
2011-10-27,25.46
2011-10-28,24.53
2011-10-31,29.96
2011-11-01,34.77
2011-11-02,32.74
2011-11-03,30.50
2011-11-04,30.16
2011-11-07,29.85
2011-11-08,27.48
2011-11-09,36.16
2011-11-10,32.81
2011-11-11,30.04
2011-11-14,31.13
2011-11-15,31.22
2011-11-16,33.51
2011-11-17,34.51
2011-11-18,32.00
2011-11-21,32.91
2011-11-22,31.97
2011-11-23,33.98
2011-11-24,.
2011-11-25,34.47
2011-11-28,32.13
2011-11-29,30.64
2011-11-30,27.80
2011-12-01,27.41
2011-12-02,27.52
2011-12-05,27.84
2011-12-06,28.13
2011-12-07,28.67
2011-12-08,30.59
2011-12-09,26.38
2011-12-12,25.67
2011-12-13,25.41
2011-12-14,26.04
2011-12-15,25.11
2011-12-16,24.29
2011-12-19,24.92
2011-12-20,23.22
2011-12-21,21.43
2011-12-22,21.16
2011-12-23,20.73
2011-12-26,.
2011-12-27,21.91
2011-12-28,23.52
2011-12-29,22.65
2011-12-30,23.40
2012-01-02,.
2012-01-03,22.97
2012-01-04,22.22
2012-01-05,21.48
2012-01-06,20.63
2012-01-09,21.07
2012-01-10,20.69
2012-01-11,21.05
2012-01-12,20.47
2012-01-13,20.91
2012-01-16,.
2012-01-17,22.20
2012-01-18,20.89
2012-01-19,19.87
2012-01-20,18.28
2012-01-23,18.67
2012-01-24,18.91
2012-01-25,18.31
2012-01-26,18.57
2012-01-27,18.53
2012-01-30,19.40
2012-01-31,19.44
2012-02-01,18.55
2012-02-02,17.98
2012-02-03,17.10
2012-02-06,17.76
2012-02-07,17.65
2012-02-08,18.16
2012-02-09,18.63
2012-02-10,20.79
2012-02-13,19.04
2012-02-14,19.54
2012-02-15,21.14
2012-02-16,19.22
2012-02-17,17.78
2012-02-20,.
2012-02-21,18.19
2012-02-22,18.19
2012-02-23,16.80
2012-02-24,17.31
2012-02-27,18.19
2012-02-28,17.96
2012-02-29,18.43
2012-03-01,17.26
2012-03-02,17.29
2012-03-05,18.05
2012-03-06,20.87
2012-03-07,19.07
2012-03-08,17.95
2012-03-09,17.11
2012-03-12,15.64
2012-03-13,14.80
2012-03-14,15.31
2012-03-15,15.42
2012-03-16,14.47
2012-03-19,15.04
2012-03-20,15.58
2012-03-21,15.13
2012-03-22,15.57
2012-03-23,14.82
2012-03-26,14.26
2012-03-27,15.59
2012-03-28,15.47
2012-03-29,15.48
2012-03-30,15.50
2012-04-02,15.64
2012-04-03,15.66
2012-04-04,16.44
2012-04-05,16.70
2012-04-06,.
2012-04-09,18.81
2012-04-10,20.39
2012-04-11,20.02
2012-04-12,17.20
2012-04-13,19.55
2012-04-16,19.55
2012-04-17,18.46
2012-04-18,18.64
2012-04-19,18.36
2012-04-20,17.44
2012-04-23,18.97
2012-04-24,18.10
2012-04-25,16.82
2012-04-26,16.24
2012-04-27,16.32
2012-04-30,17.15
2012-05-01,16.60
2012-05-02,16.88
2012-05-03,17.56
2012-05-04,19.16
2012-05-07,18.94
2012-05-08,19.05
2012-05-09,20.08
2012-05-10,18.83
2012-05-11,19.89
2012-05-14,21.87
2012-05-15,21.97
2012-05-16,22.27
2012-05-17,24.49
2012-05-18,25.10
2012-05-21,22.01
2012-05-22,22.48
2012-05-23,22.33
2012-05-24,21.54
2012-05-25,21.76
2012-05-28,.
2012-05-29,21.03
2012-05-30,24.14
2012-05-31,24.06
2012-06-01,26.66
2012-06-04,26.12
2012-06-05,24.68
2012-06-06,22.16
2012-06-07,21.72
2012-06-08,21.23
2012-06-11,23.56
2012-06-12,22.09
2012-06-13,24.27
2012-06-14,21.68
2012-06-15,21.11
2012-06-18,18.32
2012-06-19,18.38
2012-06-20,17.24
2012-06-21,20.08
2012-06-22,18.11
2012-06-25,20.38
2012-06-26,19.72
2012-06-27,19.45
2012-06-28,19.71
2012-06-29,17.08
2012-07-02,16.80
2012-07-03,16.66
2012-07-04,.
2012-07-05,17.50
2012-07-06,17.10
2012-07-09,17.98
2012-07-10,18.72
2012-07-11,17.95
2012-07-12,18.33
2012-07-13,16.74
2012-07-16,17.11
2012-07-17,16.48
2012-07-18,16.16
2012-07-19,15.45
2012-07-20,16.27
2012-07-23,18.62
2012-07-24,20.47
2012-07-25,19.34
2012-07-26,17.53
2012-07-27,16.70
2012-07-30,18.03
2012-07-31,18.93
2012-08-01,18.96
2012-08-02,17.57
2012-08-03,15.64
2012-08-06,15.95
2012-08-07,15.99
2012-08-08,15.32
2012-08-09,15.28
2012-08-10,14.74
2012-08-13,13.70
2012-08-14,14.85
2012-08-15,14.63
2012-08-16,14.29
2012-08-17,13.45
2012-08-20,14.02
2012-08-21,15.02
